listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set
52330980,1,1.0,117.0,151.26336225968743,0.22651461495920222,1
1483247146014219380,1,1.0,185.0,238.96566548686937,0.22583020609642623,1
881749934907756418,1,1.0,185.0,238.96566548686937,0.22583020609642623,1
1168094939212812438,1,0.8823529411764706,96.0,123.8547607702361,0.2248985876441978,1
6916791,1,0.7647058823529411,227.0,292.6348117624253,0.22428914511958575,1
677975485043488653,1,0.9166666666666666,109.0,140.39988502435497,0.22364608787897566,1
965395293496169028,1,1.0,64.0,82.3177729201388,0.22252512756765075,1
1172269457606290331,1,1.0,144.0,185.07314189702765,0.2219292409261644,1
1076768833143846064,1,0.8461538461538461,144.0,185.07314189702765,0.2219292409261644,1
13095290,1,1.0,78.0,99.98085906052208,0.2198506720893072,1
293274,1,1.0,72.0,92.21946268376496,0.21925374639300033,1
1382018706095946186,1,0.8571428571428571,128.0,163.81026165635913,0.2186081707840858,1
893864464156539125,1,1.0,55.0,70.22695045694232,0.21682488500306296,1
39984244,1,0.9285714285714286,145.0,185.07314189702765,0.21652597176592936,1
1476834144529349880,1,1.0,145.0,185.07314189702765,0.21652597176592936,1
1410071987810374145,1,1.0,145.0,185.07314189702765,0.21652597176592936,1
7982038,1,0.8571428571428571,145.0,185.07314189702765,0.21652597176592936,1
622957634283897566,1,1.0,85.0,108.15924772437552,0.21412175298586322,1
1396146736505343913,1,1.0,85.0,108.15924772437552,0.21412175298586322,1
415705,1,0.8,230.0,292.6348117624253,0.2140374598127962,1
43585037,1,0.8333333333333334,230.0,292.6348117624253,0.2140374598127962,1
1168111569220798463,1,1.0,90.0,114.37667892943982,0.21312630474677485,1
1468065705499874553,1,1.0,64.0,81.27145284939509,0.2125156158017869,1
1355116290461971681,1,1.0,58.0,73.63733051816416,0.21235602116655894,1
1268744568230636821,1,1.0,167.0,211.77452984288053,0.21142547159046743,1
984718134295937338,1,0.8571428571428571,167.0,211.77452984288053,0.21142547159046743,1
716626675007121078,1,0.7692307692307693,139.0,175.4137831602825,0.20758792441646268,1
26823474,1,1.0,232.0,292.6348117624253,0.2072030029416031,1
1269504511290390453,1,1.0,68.0,85.68479995651496,0.2063936656850457,1
48410506,1,1.0,147.0,185.07314189702765,0.2057194334454594,1
1080107347879927299,1,1.0,147.0,185.07314189702765,0.2057194334454594,1
39849975,1,1.0,147.0,185.07314189702765,0.2057194334454594,1
34663670,1,0.7777777777777778,86.0,108.22027130797224,0.20532448347627963,1
32859467,1,0.7692307692307693,233.0,292.6348117624253,0.20378577450600655,1
1413926382662816854,1,0.8,84.0,105.17092528053756,0.20130017135501377,1
43652183,1,0.875,121.0,151.36071706188477,0.20058518254423707,1
