listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set,latitude,longitude,accommodates,bedrooms,amenities_count,room_type,neighbourhood_cleansed,number_of_reviews,property_type,residual,cluster
701170470414050071,1,1.0,37.0,71.7335669219905,0.4842024231105486,1,41.8866,12.54199,2,1.0,27,Private room,V Prenestino/Centocelle,30,Private room in condo,-34.7335669219905,0
25173200,1,1.0,152.0,292.6348117624253,0.4805812777893261,1,41.897823,12.490681,5,2.0,21,Entire home/apt,I Centro Storico,95,Entire rental unit,-140.63481176242527,5
28324358,1,1.0,35.0,67.2361652191033,0.4794468142859563,1,41.86945,12.51713,2,1.0,45,Private room,VII San Giovanni/Cinecittà,144,Private room in rental unit,-32.2361652191033,1
31580010,1,0.8461538461538461,112.0,211.77452984288055,0.471135645617559,1,41.89257,12.50122,8,3.0,27,Entire home/apt,I Centro Storico,51,Entire rental unit,-99.77452984288055,5
41139783,1,1.0,81.0,151.36071706188477,0.464854543686638,1,41.90033,12.46759,2,1.0,20,Private room,I Centro Storico,28,Private room in rental unit,-70.36071706188477,0
1069392870265575038,1,0.8125,81.0,151.36071706188477,0.464854543686638,1,41.88073695419799,12.47545702623699,3,1.0,28,Entire home/apt,I Centro Storico,34,Entire vacation home,-70.36071706188477,0
4277497,1,0.8,72.0,133.91828250871885,0.4623586962794838,1,41.91406,12.50034,3,1.0,36,Private room,II Parioli/Nomentano,121,Private room in rental unit,-61.918282508718846,1
42240592,1,1.0,140.0,258.42785473266684,0.4582627319921672,1,41.871403,12.455939,6,2.0,39,Entire home/apt,XII Monte Verde,68,Entire vacation home,-118.42785473266684,4
1382691240340023942,1,1.0,82.0,151.36071706188477,0.458247809658078,1,41.89001051605028,12.498046699419218,3,1.0,4,Entire home/apt,I Centro Storico,1,Entire rental unit,-69.36071706188477,0
18727134,1,1.0,82.0,151.36071706188477,0.458247809658078,1,41.904581,12.5004161,2,1.0,26,Private room,I Centro Storico,62,Private room in bed and breakfast,-69.36071706188477,0
1080920125083829442,1,1.0,41.0,75.62644791842739,0.4578616194664644,1,41.79000740099586,12.409453350926198,2,1.0,18,Private room,IX Eur,2,Private room in rental unit,-34.62644791842739,2
1316592783813294933,1,1.0,87.0,160.3183120202394,0.4573296156647615,1,41.732913796557725,12.277229353374723,8,2.0,21,Entire home/apt,X Ostia/Acilia,1,Entire rental unit,-73.3183120202394,2
843540787322481995,1,1.0,76.0,139.99529444437854,0.4571246104975656,1,41.9078934,12.4463305,3,1.0,38,Private room,I Centro Storico,19,Private room in condo,-63.995294444378544,1
688124075361083535,1,1.0,39.0,71.7335669219905,0.4563214730084162,1,41.88503,12.54192,2,1.0,25,Private room,V Prenestino/Centocelle,32,Private room in condo,-32.7335669219905,0
5694023,1,1.0,73.0,133.91828250871885,0.4548914559500322,1,41.92138,12.44281,5,2.0,48,Entire home/apt,XIV Monte Mario,80,Entire rental unit,-60.918282508718846,4
902848881697657343,1,0.7777777777777778,101.0,185.07314189702765,0.454269814816268,1,41.8960002,12.471204,6,1.0,42,Entire home/apt,I Centro Storico,25,Entire rental unit,-84.07314189702763,1
966704424353762718,1,1.0,55.0,100.51181088985776,0.45280062598544,1,41.91066,12.499,1,1.0,48,Private room,II Parioli/Nomentano,10,Private room in rental unit,-45.51181088985777,1
1155647449857016187,1,0.7647058823529411,117.0,211.77452984288055,0.4475256297969143,1,41.91005029999999,12.4989332,4,2.0,48,Entire home/apt,I Centro Storico,31,Entire rental unit,-94.77452984288055,4
850066101729778191,1,1.0,44.0,79.60639614400898,0.4472805938808806,1,41.940278725259695,12.631973292590336,3,1.0,39,Entire home/apt,IV Tiburtina,23,Entire rental unit,-35.60639614400898,1
6535941,1,1.0,84.0,151.36071706188477,0.4450343416009579,1,41.89444,12.48967,2,1.0,8,Entire home/apt,I Centro Storico,3,Entire rental unit,-67.36071706188477,0
1397873347367036600,1,1.0,32.0,57.24347085362958,0.4409842813021704,1,41.87678,12.5609,2,1.0,7,Private room,V Prenestino/Centocelle,2,Private room in rental unit,-25.24347085362958,0
1371865580056364385,1,1.0,32.0,57.24347085362958,0.4409842813021704,1,41.87629159999999,12.5619357,2,1.0,30,Private room,V Prenestino/Centocelle,0,Private room in rental unit,-25.24347085362958,0
37004852,1,1.0,69.0,122.48860293673008,0.4366822843457438,1,41.89395,12.52826,2,2.0,33,Private room,V Prenestino/Centocelle,13,Private room in condo,-53.488602936730075,0
1041757384911952441,1,0.8,99.0,175.4137831602825,0.4356201763829482,1,41.85900927758114,12.45169746931154,6,2.0,45,Entire home/apt,XI Arvalia/Portuense,24,Entire condo,-76.41378316028249,4
617766348504898655,1,0.8333333333333334,135.0,238.96566548686937,0.4350652855298246,1,41.89436,12.438712,5,1.0,57,Entire home/apt,XIII Aurelia,34,Entire condo,-103.96566548686936,1
40368862,1,0.7857142857142857,189.0,334.39909515697065,0.434807083101462,1,41.89677,12.43601,6,3.0,53,Entire home/apt,XIII Aurelia,94,Entire condo,-145.39909515697065,4
712185,1,0.8333333333333334,167.0,292.6348117624253,0.429322851255378,1,41.89774,12.45747,6,2.0,42,Entire home/apt,XIII Aurelia,168,Entire rental unit,-125.63481176242529,4
879272792114661170,1,1.0,78.0,136.53566504426246,0.4287206937856583,1,41.90751,12.44578,4,1.0,45,Private room,I Centro Storico,3,Private room in rental unit,-58.53566504426246,1
1451427802410870747,1,1.0,80.0,139.99529444437854,0.4285522215763848,1,41.90758,12.44539,3,1.0,9,Private room,I Centro Storico,0,Private room in rental unit,-59.995294444378544,0
587482510579131862,1,0.8333333333333334,70.0,122.48860293673008,0.4285182594811894,1,41.835228,12.56335,6,2.0,54,Entire home/apt,VII San Giovanni/Cinecittà,111,Entire condo,-52.488602936730075,4
53783176,1,0.7857142857142857,260.0,454.8842833980839,0.4284260646295716,1,41.89499,12.49474,8,3.0,23,Entire home/apt,I Centro Storico,95,Entire rental unit,-194.88428339808388,5
928773199431624990,1,0.7777777777777778,49.0,85.68479995651496,0.4281366120377534,1,41.8821,12.35982,2,1.0,19,Private room,XII Monte Verde,49,Private room in rental unit,-36.684799956514965,0
48192288,1,0.8,336.0,586.8620469594883,0.427463401764002,1,41.899937,12.470144,6,2.0,53,Entire home/apt,I Centro Storico,48,Entire rental unit,-250.8620469594883,4
1081613190185217052,1,1.0,87.0,151.36071706188477,0.4252141395152778,1,41.90088,12.4989,2,1.0,25,Private room,I Centro Storico,0,Private room in rental unit,-64.36071706188477,0
808615746023201479,1,1.0,107.0,185.07314189702765,0.4218501998548583,1,41.879697,12.4676368,4,1.0,45,Entire home/apt,XII Monte Verde,126,Entire condo,-78.07314189702763,1
5787473,1,0.8461538461538461,263.0,454.8842833980839,0.4218309807599129,1,41.90506,12.48289,7,3.0,35,Entire home/apt,I Centro Storico,176,Entire rental unit,-191.88428339808388,4
42499366,1,0.8,81.0,139.99529444437854,0.4214091243460895,1,41.90658,12.44502,4,1.0,46,Entire home/apt,I Centro Storico,105,Entire home,-58.995294444378544,1
1359572875278945544,1,1.0,75.0,129.4436887509779,0.4205974758314866,1,41.90915016576085,12.521771780905976,2,1.0,13,Entire home/apt,II Parioli/Nomentano,1,Entire condo,-54.44368875097791,0
861528661375512602,1,1.0,58.0,99.98085906052208,0.4198889612971771,1,41.902031741695744,12.50417109578848,2,1.0,10,Private room,I Centro Storico,7,Private room in rental unit,-41.98085906052209,0
10844467,1,1.0,45.0,77.55248284083551,0.4197477843184525,1,41.86958,12.44803,2,1.0,32,Entire home/apt,XII Monte Verde,56,Entire rental unit,-32.55248284083551,0
24888965,1,0.875,111.0,191.0250605614952,0.418924408798883,1,41.91751,12.49937,5,2.0,43,Entire home/apt,II Parioli/Nomentano,39,Entire condo,-80.02506056149522,4
1204284196063386883,1,1.0,139.0,238.96566548686937,0.4183264791751527,1,41.97693,12.44536,4,1.0,63,Entire home/apt,XV Cassia/Flaminia,5,Entire rental unit,-99.96566548686936,1
983155846336536861,1,0.8,78.0,133.91828250871885,0.4175552543027742,1,41.9266379103457,12.462933837905966,4,2.0,26,Entire home/apt,II Parioli/Nomentano,12,Entire rental unit,-55.918282508718846,5
4522462,1,0.8,265.0,454.8842833980839,0.4174342581801403,1,41.89568,12.49885,8,3.0,24,Entire home/apt,I Centro Storico,64,Entire condo,-189.88428339808388,5
781932106556569872,1,1.0,140.0,238.96566548686937,0.4141417775864847,1,41.9132785,12.4387328,4,2.0,50,Entire home/apt,XIV Monte Mario,23,Entire rental unit,-98.96566548686936,4
1136686130105916497,1,1.0,109.0,185.07314189702765,0.4110436615343883,1,41.88792083496082,12.466487058171817,4,2.0,37,Entire home/apt,I Centro Storico,10,Entire rental unit,-76.07314189702763,4
